날짜,위치,업종,매출
20190801,제주특별자치도,eatery,16628248
20190901,제주특별자치도,eatery,14252784
20191001,제주특별자치도,eatery,15270840
20191101,제주특별자치도,eatery,14931488
20191201,제주특별자치도,eatery,15610192
20200101,제주특별자치도,eatery,14931488
20200201,제주특별자치도,eatery,11537968
20200301,제주특별자치도,eatery,11198616
20200401,제주특별자치도,eatery,11537968
20200501,제주특별자치도,eatery,13913432
20200601,제주특별자치도,eatery,12895376
20190601,광주광역시,eatery,15270840
20190701,광주광역시,eatery,14931488
20190801,광주광역시,eatery,15610192
20190901,광주광역시,eatery,14931488
20191001,광주광역시,eatery,14592136
20191101,광주광역시,eatery,14252784
20191201,광주광역시,eatery,15949544
20200101,광주광역시,eatery,14252784
20200201,광주광역시,eatery,11877320
20200301,광주광역시,eatery,11877320
20200401,광주광역시,eatery,12556024
20200501,광주광역시,eatery,13913432
20200601,광주광역시,eatery,12895376
20190601,서울특별시,fbeauty,200746100
20190701,서울특별시,fbeauty,182678951
20190801,서울특별시,fbeauty,188701334
20190901,서울특별시,fbeauty,186693873
20191001,서울특별시,fbeauty,196731178
20191101,서울특별시,fbeauty,186693873
20191201,서울특별시,fbeauty,186693873
20200101,서울특별시,fbeauty,152567036
20200201,서울특별시,fbeauty,136507348
20200301,서울특별시,fbeauty,120447660
20200401,서울특별시,fbeauty,134499887
20200501,서울특별시,fbeauty,178664029
20200601,서울특별시,fbeauty,166619263
20190601,경기도,fbeauty,130484965
20190701,경기도,fbeauty,118440199
20190801,경기도,fbeauty,108402894
20190901,경기도,fbeauty,120447660
20191001,경기도,fbeauty,134499887
20191101,경기도,fbeauty,122455121
20191201,경기도,fbeauty,120447660
20200101,경기도,fbeauty,112417816
20200201,경기도,fbeauty,90335745
20200301,경기도,fbeauty,88328284
20200401,경기도,fbeauty,130484965
20200501,경기도,fbeauty,160596880
20200601,경기도,fbeauty,128477504
20190601,부산광역시,fbeauty,36134298
20190701,부산광역시,fbeauty,36134298
20190801,부산광역시,fbeauty,32119376
20190901,부산광역시,fbeauty,32119376
20191001,부산광역시,fbeauty,36134298
20191101,부산광역시,fbeauty,34126837
20191201,부산광역시,fbeauty,34126837
20200101,부산광역시,fbeauty,30111915
20200201,부산광역시,fbeauty,26096993
20200301,부산광역시,fbeauty,20074610
20200401,부산광역시,fbeauty,26096993
20200501,부산광역시,fbeauty,44164142
20200601,부산광역시,fbeauty,34126837
20190601,대구광역시,fbeauty,34126837
20190701,대구광역시,fbeauty,38141759
20190801,대구광역시,fbeauty,24089532
20190901,대구광역시,fbeauty,28104454
20191001,대구광역시,fbeauty,32119376
20191101,대구광역시,fbeauty,32119376
20191201,대구광역시,fbeauty,30111915
20200101,대구광역시,fbeauty,24089532
20200201,대구광역시,fbeauty,16059688
20200301,대구광역시,fbeauty,12044766
20200401,대구광역시,fbeauty,20074610
20200501,대구광역시,fbeauty,34126837
20200601,대구광역시,fbeauty,28104454
20190601,인천광역시,fbeauty,28104454
20190701,인천광역시,fbeauty,26096993
20190801,인천광역시,fbeauty,24089532
20190901,인천광역시,fbeauty,26096993
20191001,인천광역시,fbeauty,32119376
20191101,인천광역시,fbeauty,30111915
20191201,인천광역시,fbeauty,34126837
20200101,인천광역시,fbeauty,24089532
20200201,인천광역시,fbeauty,20074610
20200301,인천광역시,fbeauty,16059688
20200401,인천광역시,fbeauty,22082071
20200501,인천광역시,fbeauty,30111915
20200601,인천광역시,fbeauty,22082071
20190601,경상남도,fbeauty,24089532
20190701,경상남도,fbeauty,22082071
20190801,경상남도,fbeauty,20074610
20190901,경상남도,fbeauty,22082071
20191001,경상남도,fbeauty,24089532
20191101,경상남도,fbeauty,24089532
20191201,경상남도,fbeauty,22082071
20200101,경상남도,fbeauty,22082071
20200201,경상남도,fbeauty,16059688
20200301,경상남도,fbeauty,14052227
20200401,경상남도,fbeauty,22082071
20200501,경상남도,fbeauty,32119376
20200601,경상남도,fbeauty,22082071
20190601,경상북도,fbeauty,16059688
20190701,경상북도,fbeauty,16059688
20190801,경상북도,fbeauty,14052227
20190901,경상북도,fbeauty,16059688
20191001,경상북도,fbeauty,16059688
20191101,경상북도,fbeauty,14052227
20191201,경상북도,fbeauty,14052227
20200101,경상북도,fbeauty,12044766
20200201,경상북도,fbeauty,10037305
20200301,경상북도,fbeauty,8029844
20200401,경상북도,fbeauty,16059688
20200501,경상북도,fbeauty,22082071
20200601,경상북도,fbeauty,14052227
20190601,충청남도,fbeauty,22216950
20190701,충청남도,fbeauty,21328272
20190801,충청남도,fbeauty,19550916
20190901,충청남도,fbeauty,24586758
20191001,충청남도,fbeauty,22809402
20191101,충청남도,fbeauty,26956566
20191201,충청남도,fbeauty,24290532
20200101,충청남도,fbeauty,19254690
20200201,충청남도,fbeauty,15699978
20200301,충청남도,fbeauty,13626396
20200401,충청남도,fbeauty,20735820
20200501,충청남도,fbeauty,29622600
20200601,충청남도,fbeauty,24290532
20190601,대전광역시,fbeauty,15107526
20190701,대전광역시,fbeauty,14811300
20190801,대전광역시,fbeauty,14218848
20190901,대전광역시,fbeauty,15403752
20191001,대전광역시,fbeauty,19254690
20191101,대전광역시,fbeauty,17181108
20191201,대전광역시,fbeauty,16588656
20200101,대전광역시,fbeauty,13922622
20200201,대전광역시,fbeauty,10071684
20200301,대전광역시,fbeauty,9183006
20200401,대전광역시,fbeauty,13033944
20200501,대전광역시,fbeauty,18662238
20200601,대전광역시,fbeauty,13330170
20190601,충청북도,fbeauty,13330170
20190701,충청북도,fbeauty,13330170
20190801,충청북도,fbeauty,11256588
20190901,충청북도,fbeauty,15403752
20191001,충청북도,fbeauty,15403752
20191101,충청북도,fbeauty,13922622
20191201,충청북도,fbeauty,12737718
20200101,충청북도,fbeauty,12737718
20200201,충청북도,fbeauty,8886780
20200301,충청북도,fbeauty,8590554
20200401,충청북도,fbeauty,15996204
20200501,충청북도,fbeauty,19847142
20200601,충청북도,fbeauty,14515074
