날짜,위치,업종,매출
201902,전국,의류/잡화,1001630
201903,전국,의류/잡화,1241781
201904,전국,의류/잡화,1201059
201905,전국,의류/잡화,1317136
201906,전국,의류/잡화,1178323
201907,전국,의류/잡화,1108101
201908,전국,의류/잡화,1020957
201909,전국,의류/잡화,1075188
201910,전국,의류/잡화,1263757
201911,전국,의류/잡화,1251092
201912,전국,의류/잡화,1218961
202001,전국,의류/잡화,1024605
202002,전국,의류/잡화,857523
202003,전국,의류/잡화,790272
202004,전국,의류/잡화,914246
201901,전국,의복/직물,595790
201902,전국,의복/직물,524598
201903,전국,의복/직물,657957
201904,전국,의복/직물,651190
201905,전국,의복/직물,723368
201906,전국,의복/직물,615586
201907,전국,의복/직물,566552
201908,전국,의복/직물,481348
201909,전국,의복/직물,583837
201910,전국,의복/직물,724413
201911,전국,의복/직물,730448
201912,전국,의복/직물,674527
202001,전국,의복/직물,521615
202002,전국,의복/직물,400251
202003,전국,의복/직물,378710
202004,전국,의복/직물,475703
201901,전국,복식잡화,90256
201902,전국,복식잡화,79194
201903,전국,복식잡화,103978
201904,전국,복식잡화,99942
201905,전국,복식잡화,110520
201906,전국,복식잡화,104620
201907,전국,복식잡화,99119
201908,전국,복식잡화,91188
201909,전국,복식잡화,90571
201910,전국,복식잡화,104876
201911,전국,복식잡화,103517
201912,전국,복식잡화,104787
202001,전국,복식잡화,85047
202002,전국,복식잡화,74216
202003,전국,복식잡화,72478
202004,전국,복식잡화,79546
201901,전국,시계/귀금속/안경,201638
201902,전국,시계/귀금속/안경,187289
201903,전국,시계/귀금속/안경,227925
201904,전국,시계/귀금속/안경,211259
201905,전국,시계/귀금속/안경,232816
201906,전국,시계/귀금속/안경,217216
201907,전국,시계/귀금속/안경,211331
201908,전국,시계/귀금속/안경,215308
201909,전국,시계/귀금속/안경,185643
201910,전국,시계/귀금속/안경,198534
201911,전국,시계/귀금속/안경,184226
201912,전국,시계/귀금속/안경,201425
202001,전국,시계/귀금속/안경,191793
202002,전국,시계/귀금속/안경,175588
202003,전국,시계/귀금속/안경,154771
202004,전국,시계/귀금속/안경,165281
201901,전국,화장품,245217
201902,전국,화장품,210548
201903,전국,화장품,251921
201904,전국,화장품,238668
201905,전국,화장품,250431
201906,전국,화장품,240902
201907,전국,화장품,231100
201908,전국,화장품,233112
201909,전국,화장품,215136
201910,전국,화장품,235934
201911,전국,화장품,232901
201912,전국,화장품,238223
202001,전국,화장품,226149
202002,전국,화장품,207467
202003,전국,화장품,184313
202004,전국,화장품,193715
201901,전국,연료,2507052
201902,전국,연료,2216700
201903,전국,연료,2524854
