,날짜,위치,업종,매출
0,0,0,0,0
1,20190601,서울특별시,eatery,285623660
2,20190701,서울특별시,eatery,282519055
3,20190801,서울특별시,eatery,273205240
4,20190901,서울특별시,eatery,266996030
5,20191001,서울특별시,eatery,285623660
6,20191101,서울특별시,eatery,276309845
7,20191201,서울특별시,eatery,310460500
8,20200101,서울특별시,eatery,263891425
9,20200201,서울특별시,eatery,229740770
10,20200301,서울특별시,eatery,204903930
11,20200401,서울특별시,eatery,208008535
12,20200501,서울특별시,eatery,242159190
13,20200601,서울특별시,eatery,229740770
14,20190601,경기도,eatery,208008535
15,20190701,경기도,eatery,208008535
16,20190801,경기도,eatery,211113140
17,20190901,경기도,eatery,198694720
18,20191001,경기도,eatery,208008535
19,20191101,경기도,eatery,195590115
20,20191201,경기도,eatery,214217745
21,20200101,경기도,eatery,201799325
22,20200201,경기도,eatery,173857880
23,20200301,경기도,eatery,170753275
24,20200401,경기도,eatery,183171695
25,20200501,경기도,eatery,195590115
26,20200601,경기도,eatery,180067090
27,20190601,부산광역시,eatery,90033545
28,20190701,부산광역시,eatery,90033545
29,20190801,부산광역시,eatery,93138150
30,20190901,부산광역시,eatery,86928940
31,20191001,부산광역시,eatery,90033545
32,20191101,부산광역시,eatery,86928940
33,20191201,부산광역시,eatery,99347360
34,20200101,부산광역시,eatery,86928940
35,20200201,부산광역시,eatery,68301310
36,20200301,부산광역시,eatery,55882890
37,20200401,부산광역시,eatery,65196705
38,20200501,부산광역시,eatery,86928940
39,20200601,부산광역시,eatery,80719730
40,20190601,경상남도,eatery,58987495
41,20190701,경상남도,eatery,58987495
42,20190801,경상남도,eatery,62092100
43,20190901,경상남도,eatery,55882890
44,20191001,경상남도,eatery,55882890
45,20191101,경상남도,eatery,55882890
46,20191201,경상남도,eatery,68301310
47,20200101,경상남도,eatery,58987495
48,20200201,경상남도,eatery,46569075
49,20200301,경상남도,eatery,46569075
50,20200401,경상남도,eatery,49673680
51,20200501,경상남도,eatery,62092100
52,20200601,경상남도,eatery,52778285
53,20190601,인천광역시,eatery,43464470
54,20190701,인천광역시,eatery,40359865
55,20190801,인천광역시,eatery,40359865
56,20190901,인천광역시,eatery,40359865
57,20191001,인천광역시,eatery,40359865
58,20191101,인천광역시,eatery,40359865
59,20191201,인천광역시,eatery,43464470
60,20200101,인천광역시,eatery,40359865
61,20200201,인천광역시,eatery,34150655
62,20200301,인천광역시,eatery,31046050
63,20200401,인천광역시,eatery,31046050
64,20200501,인천광역시,eatery,37255260
65,20200601,인천광역시,eatery,31046050
66,20190601,대구광역시,eatery,37255260
67,20190701,대구광역시,eatery,37255260
68,20190801,대구광역시,eatery,37255260
69,20190901,대구광역시,eatery,37255260
70,20191001,대구광역시,eatery,37255260
71,20191101,대구광역시,eatery,37255260
72,20191201,대구광역시,eatery,40359865
73,20200101,대구광역시,eatery,37255260
74,20200201,대구광역시,eatery,27941445
75,20200301,대구광역시,eatery,18627630
76,20200401,대구광역시,eatery,24836840
77,20200501,대구광역시,eatery,31046050
78,20200601,대구광역시,eatery,31046050
79,20190601,경상북도,eatery,37255260
80,20190701,경상북도,eatery,37255260
81,20190801,경상북도,eatery,40359865
82,20190901,경상북도,eatery,34150655
83,20191001,경상북도,eatery,37255260
84,20191101,경상북도,eatery,34150655
85,20191201,경상북도,eatery,37255260
86,20200101,경상북도,eatery,31046050
87,20200201,경상북도,eatery,24836840
88,20200301,경상북도,eatery,18627630
89,20200401,경상북도,eatery,24836840
90,20200501,경상북도,eatery,34150655
91,20200601,경상북도,eatery,31046050
92,20190601,강원도,eatery,27826864
93,20190701,강원도,eatery,28505568
94,20190801,강원도,eatery,33935200
95,20190901,강원도,eatery,26808808
96,20191001,강원도,eatery,28166216
97,20191101,강원도,eatery,26130104
98,20191201,강원도,eatery,29184272
99,20200101,강원도,eatery,26808808
100,20200201,강원도,eatery,21039824
101,20200301,강원도,eatery,19682416
102,20200401,강원도,eatery,21718528
103,20200501,강원도,eatery,26469456
104,20200601,강원도,eatery,24433344
105,20190601,충청남도,eatery,28505568
106,20190701,충청남도,eatery,27148160
107,20190801,충청남도,eatery,28844920
108,20190901,충청남도,eatery,27826864
109,20191001,충청남도,eatery,28844920
110,20191101,충청남도,eatery,26808808
111,20191201,충청남도,eatery,28844920
112,20200101,충청남도,eatery,25451400
113,20200201,충청남도,eatery,22057880
114,20200301,충청남도,eatery,20361120
115,20200401,충청남도,eatery,23415288
116,20200501,충청남도,eatery,27148160
